Name,avg_salary,avg_raptor,season_end,season_start
Antoine Carr,1145466.667,-2.225,2000,1985
Antoine Walker,8273961.667,-1.108333333,2008,1996
Antoine Wright,1602685,-4.833333333,2011,2005
Antonio Burks,513512.5,-3.9,2006,2004
Antonio Daniels,3617653.333,-0.25,2009,1997
Antonio Davis,6749230.769,-1.392307692,2006,1993
Antonio Harvey,377463.875,-4.725,2003,1993
Antonio Lang,422666.6667,-6.466666667,1997,1994
Antonio McDyess,5964638.765,-0.411764706,2011,1995
Antonis Fotsis,332817,-3.7,2002,2001
Archie Goodwin,953503.8333,-2.566666667,2017,2013
Arinze Onuaku,241652,-6.05,2017,2014
Armen Gilliam,1756471.429,-1.571428571,2000,1987
Armon Johnson,617899.5,-5.1,2012,2010
Arnett Moultrie,1065780,-3.75,2014,2012
Aron Baynes,3432507,-1.4,2018,2012
Arron Afflalo,4904346.583,-2.233333333,2018,2007
Art Long,231697.6667,-6.166666667,2003,2001
Artis Gilmore,710666.6667,-1.4,1988,1984
Arvydas Macijauskas,2500000,-3.3,2006,2005
Arvydas Sabonis,6405497.286,3.557142857,2003,1995
Ashraf Amaya,236250,-4,1997,1995
Askia Jones,150000,-3.1,1995,1994
Audie Norris,110000,-3.1,1985,1984
Austin Croshere,4267814.308,-1.607692308,2009,1997
Austin Daye,1500804.571,-0.942857143,2015,2009
Austin Rivers,5490373.333,-2.733333333,2018,2012
Avery Bradley,4885609,-1.675,2018,2010
Avery Johnson,2521457.143,-0.842857143,2004,1988
Awvee Storey,479279.3333,-3.166666667,2008,2004
Axel Toupane,55145.25,-16.5,2017,2015
B.J. Armstrong,1489090.909,-1.009090909,2000,1990
B.J. Tyler,715000,-5.2,1995,1994
Bam Adebayo,2490360,-0.8,2018,2017
Baron Davis,9488784.5,2.914285714,2012,1999
Bart Kofoed,117500,-4.875,1993,1987
Ben Bentil,110656.3333,-26.9,2017,2016
Ben Coleman,287500,-4.2,1989,1987
Ben Davis,178961.75,-1.25,2000,1996
Ben Gillery,100000,-6.4,1989,1988
Ben Gordon,7692456.273,-1.890909091,2015,2004
Ben Handlogten,366931,-1.2,2004,2003
Ben Hansbrough,473604,-4.2,2013,2012
Ben McDonald,135000,-4.2,1988,1987
Ben McLemore,3657544.4,-3.32,2018,2013
Ben Poquette,284000,-1.3,1986,1984
Ben Simmons,6168840,3.7,2018,2017
Ben Uzoh,267518.5,2.95,2012,2010
Ben Wallace,5487549.688,1.99375,2012,1996
Beno Udrih,3193860.571,-0.842857143,2017,2004
Benoit Benjamin,2091375.364,-3.427272727,2000,1985
Bernard James,603646.25,-0.875,2015,2012
Bernard King,1349714.286,-0.442857143,1993,1984
Bernard Robinson,675675,-3.233333333,2007,2004
Bernard Thompson,156666.6667,-2.7,1989,1985
