Name,avg_salary,avg_raptor,season_end,season_start
DeMarco Johnson,111871,-9.5,2000,1999
DeMarcus Cousins,9906497.25,1.95,2018,2010
DeMarcus Nelson,182047,-6.2,2009,2008
DeMarre Carroll,5603199.222,-0.777777778,2018,2009
Demetris Nichols,257528,-6.3,2009,2007
Deng Gai,92396,-7.3,2006,2005
Dennis Hopson,745837.5,-2.575,1992,1987
Dennis Horner,91642,-6,2012,2011
Dennis Johnson,713875,0.7,1989,1984
Dennis Rodman,2451363.636,1.945454545,1999,1987
Dennis Schroder,4602172.4,-2.62,2018,2013
Dennis Scott,2172272.727,0.154545455,2000,1990
Dennis Smith Jr.,3218280,-5.5,2018,2017
Denzel Valentine,2139300,-2.05,2018,2016
DeQuan Jones,473504,-5.6,2013,2012
Derek Anderson,4212366.214,1.15,2008,1997
Derek Fisher,3161902.85,-0.29,2014,1996
Derek Grimm,242000,0.5,1998,1997
Derek Harper,1359207.692,1.623076923,1999,1984
Derek Hood,49721,-30.7,2000,1999
Derek Smith,583000,0.28,1991,1984
Derek Strong,1365911.111,-3.888888889,2001,1991
DerMarr Johnson,1143427,-0.55,2008,2000
Deron Williams,9406560.133,0.913333333,2017,2005
Derrick Alston,250000,-3.15,1996,1994
Derrick Brown,691390.6667,-1.5,2012,2009
Derrick Caracter,473604,-5.6,2011,2010
Derrick Chievous,437500,-5.55,1991,1988
Derrick Coleman,5585425,-1.40625,2005,1990
Derrick Dial,324650,-1.575,2004,1999
Derrick Favors,8394352.75,0.0375,2018,2010
Derrick Gervin,155000,-4.5,1991,1990
Derrick McKey,2691500,0.642857143,2002,1987
Derrick Rose,9350585.909,-1.1,2018,2008
Derrick White,1404600,5.1,2018,2017
Derrick Williams,3860262,-5.15,2018,2011
DeSagana Diop,3918673.667,-3.341666667,2013,2001
DeShawn Stevenson,2145999.077,-3.915384615,2013,2000
Desmon Farmer,179556,-1.9,2009,2006
Desmond Mason,3764100.2,-2.57,2010,2000
Detlef Schrempf,2175595.214,0.621428571,2001,1985
Devean George,2605125.455,-1.354545455,2010,1999
Devin Booker,2223600,-1.8,2018,2015
Devin Brown,906287.4444,-1.911111111,2010,2002
Devin Ebanks,763396,-2.9,2013,2010
Devin Gray,119211.5,1.85,2000,1996
Devin Green,398762,-5.8,2006,2005
Devin Harris,5262233.429,2.085714286,2018,2004
Devyn Marble,864969,-2.8,2016,2014
Dewayne Dedmon,2665440,0.15,2018,2014
Dexter Cambridge,150000,-3.6,1993,1992
Dexter Pittman,696729.3333,-9.833333333,2013,2010
Deyonta Davis,1340920,-2.85,2018,2016
Diamond Stone,543471,-25.6,2017,2016
Diante Garrett,473604,-4,2013,2012
Dickey Simpkins,882698.3333,-4.766666667,2002,1994
Didier Ilunga-Mbenga,1067374.7,-4.64,2011,2004
Dijon Thompson,243931.5,0.2,2007,2005
Dikembe Mutombo,7183329.05,0.87,2009,1991
Dillon Brooks,815615,-1,2018,2017
Dino Radja,2937000,-1.775,1997,1993
Dion Glover,1093126.4,-1.68,2004,1999
Dion Waiters,5119878.333,-1.45,2018,2012
Dirk Minniefield,87500,-0.85,1988,1985
Dirk Nowitzki,12518590.05,3.2,2018,1998
DJ White,1075947,-0.64,2013,2008
Doc Rivers,700812.5,3.975,1996,1984
Domantas Sabonis,2495100,-1.95,2018,2016
Dominic McGuire,522342.375,-7.8625,2013,2007
Dominique Jones,1193320,-3.466666667,2013,2010
Dominique Wilkins,1802884.615,2.5,1999,1984
Don Buse,130000,-0.6,1985,1984
Don MacLean,1506750,-4.78,2001,1992
Don Reid,763875,-3.575,2003,1995
Donald Hodge,766000,-5.04,1996,1991
Donald Royal,893333.3333,-1.85,1997,1991
Donald Sloan,477488.1429,-3.628571429,2016,2011
Donald Whiteside,246125,-7.95,1998,1996
Donatas Motiejunas,1445017.8,-2.78,2017,2012
Donell Taylor,531485.5,-3.05,2007,2005
Donnell Harvey,861409.75,-4.5,2004,2000
Donnie Boyce,248750,-3.6,1997,1995
Donny Marshall,325000,-2.15,1997,1995
Donovan Mitchell,2621280,2.2,2018,2017
Donta Smith,533374,-1.05,2006,2004
Dontae' Jones,794880,-10.2,1998,1997
Donte Greene,1286974,-3.125,2012,2008
Dontonio Wingfield,368750,-4.8,1998,1994
Donyell Marshall,4259874.529,0.105882353,2009,1994
Dorell Wright,2393021.5,-0.033333333,2016,2004
Dorian Finney-Smith,928041,-1.75,2018,2016
Doron Lamb,719436,-6.15,2014,2012
Doug Christie,3439429.2,0.086666667,2007,1993
Doug Edwards,845000,-6.466666667,1996,1993
Doug Lee,141666.6667,-1.533333333,1995,1991
Doug McDermott,2609108.5,-4.65,2018,2014
Doug Overton,400045.3333,-5.125,2004,1992
Doug Smith,1479000,-4.72,1996,1991
Doug West,1895000,-2.890909091,2001,1990
Dragan Bender,4372560,-3.55,2018,2016
Dragan Tarlac,2500000,-8,2001,2000
Draymond Green,8111863,4.566666667,2018,2012
Drazen Petrovic,1372500,0.325,1993,1989
Drew Barry,206382.5,-4.1,2000,1998
Drew Gooden,4852212.286,-2.535714286,2016,2002
Drew Gordon,40000,-11.7,2015,2014
Duane Causwell,1602917.455,-3.227272727,2001,1990
Duane Cooper,145000,-7.75,1994,1992
Duane Ferrell,777500,-2.88,1999,1988
Duane Washington,75000,3.8,1988,1987
Dudley Bradley,91666.66667,-1.533333333,1989,1985
Duje Dukan,525093,-10.6,2016,2015
Dwayne Bacon,815615,-5.1,2018,2017
Dwayne Jones,470098.25,-4.45,2009,2005
Dwayne McClain,115000,-2.1,1986,1985
Dwayne Morton,150000,-5,1995,1994
Dwayne Schintzius,617562.5,-5.4375,1999,1990
Dwight Buycks,398094,-5.65,2018,2014
Dwight Howard,15268990.14,2.021428571,2018,2004
Dwight Powell,4682630,-3.35,2018,2014
Dwyane Wade,12283940.5,3.725,2018,2003
E'Twaun Moore,2944294.714,-1.1,2018,2011
Earl Barron,422437.5714,-6.242857143,2015,2005
Earl Boykins,1272681.692,-1.846153846,2011,1998
Earl Clark,1729598.667,-5.566666667,2015,2009
Earl Cureton,212040,-3.98,1997,1984
Earl Watson,3055077.071,-0.692857143,2014,2001
Ed Davis,3792922.75,-0.55,2018,2010
Ed Gray,778140,-5.1,1999,1997
Ed Nealy,450000,-1.88,1993,1987
Ed O'Bannon,1218000,-5.15,1997,1995
Ed Pinckney,897600,-0.16,1997,1985
Ed Stokes,272500,-6.8,1998,1997
Eddie Basden,398762,-0.9,2006,2005
Eddie Gill,519574.75,-1.2,2009,2004
Eddie Griffin,2013609.2,-2.1,2007,2001
Eddie House,1179881,-0.525,2011,2000
Eddie Hughes,100000,0.3,1989,1988
Eddie Johnson,699478.5714,-1.035714286,1998,1984
Eddie Jones,6616948.133,3.206666667,2008,1994
Eddie Lee Wilkins,410000,-4.733333333,1993,1988
Eddie Robinson,3652200,-1.38,2004,1999
Eddy Curry,5320036.455,-6.872727273,2013,2001
Edgar Jones,220000,-2.15,1986,1984
Eduardo Najera,3073568.25,-0.783333333,2012,2000
Efthimi Rentzias,903360,-4.7,2003,2002
Ekpe Udoh,3089252,-2.55,2018,2010
Elden Campbell,4611666.667,-1.186666667,2005,1990
Eldridge Recasner,733200,-3.216666667,2002,1995
Elfrid Payton,2712375,0.025,2018,2014
Elijah Millsap,209226,-4.433333333,2017,2014
Elliot Perry,1169900,-1.4,2001,1991
Elliot Williams,283312.3333,-2.4,2016,2011
Elmore Spencer,569000,-6.966666667,1995,1992
Elston Turner,141666.6667,-3.5,1989,1985
Elton Brand,9346073.556,0.794444444,2016,1999
Emanual Davis,534580.8333,-2.733333333,2003,1996
Emeka Okafor,7586583,-0.66,2018,2004
Emmanuel Mudiay,3241840,-5.8,2018,2015
Enes Kanter,10412747.71,-0.985714286,2018,2011
Ennis Whatley,170000,-0.475,1994,1984
Eric Anderson,195000,-2.25,1994,1992
Eric Bledsoe,7647052.875,1.875,2018,2010
Eric Dawson,38172,-3,2012,2011
Eric Gordon,9598489.1,-0.27,2018,2008
Eric Leckner,375071.4286,-7.042857143,1997,1988
Eric Maynor,1721624.2,-4.46,2014,2009
Eric Mobley,980000,-6.8,1997,1994
Eric Montross,1640000,-5.7875,2002,1994
Eric Moreland,1030576,2.633333333,2018,2014
Eric Murdock,1130906.25,0.725,2000,1991
Eric Piatkowski,1967781.286,-0.585714286,2008,1994
Eric Riley,323125,-2.7,1999,1993
Eric Snow,3377796.154,-0.030769231,2008,1995
Eric Washington,381000,-3.25,1999,1997
Eric White,75000,-1,1988,1987
Eric Williams,3319626.667,-2.166666667,2007,1995
Erick Barkley,675100,-3.8,2002,2000
Erick Dampier,6122741.938,-2.15625,2012,1996
Erick Green,235584.6667,-6.066666667,2016,2014
Erick Strickland,1454427.778,-1,2005,1996
Erik Daniels,385277,-6.6,2005,2004
Ernest Brown,332817,-16,2002,2001
Ernie Grunfeld,262500,0,1986,1984
Ersan Ilyasova,4856131.364,0.790909091,2018,2006
Ervin Johnson,2486665.692,-2.007692308,2006,1993
Esteban Batista,531485.5,-3.75,2007,2005
Etan Thomas,4100938.667,-3.322222222,2011,2001
Etdrick Bohannon,397875,-10.95,2001,1997
Eugene Jeter,473604,-3.5,2011,2010
Evan Eschmeyer,1716793.75,-2.125,2003,1999
Evan Fournier,6759374.167,-0.666666667,2018,2012
Evan Turner,7718951,-2.6875,2018,2010
Everette Stephens,100000,-7.3,1989,1988
Evers Burns,1616000,-4.1,1994,1993
Fab Melo,1254720,-4.7,2013,2012
Fabricio Oberto,2416811.429,-2.714285714,2011,2005
Fat Lever,1055437.5,3.15,1994,1984
Felipe Lopez,665656.6667,-2.666666667,2002,1998
Felton Spencer,1557945.75,-3.125,2002,1990
Fennis Dembo,100000,-6.8,1989,1988
Festus Ezeli,1380862.667,-2,2016,2012
Francisco Elson,1395386.556,-3.455555556,2012,2003
Francisco Garcia,3104404,-0.98,2015,2005
Frank Brickowski,1415625,-2.525,1997,1987
Frank Johnson,304500,-1.816666667,1994,1984
Frank Kaminsky,2730033.333,-1.933333333,2018,2015
Frank Kornet,225000,-6.5,1991,1990
Frank Mason,1184385,-1.8,2018,2017
Frank Ntilikina,3501120,-1.5,2018,2017
Frank Williams,895000,-3.966666667,2005,2002
Frankie King,200000,-9.9,1996,1995
Franklin Edwards,100000,-2.2,1986,1985
Fred Cofield,70000,-5.1,1986,1985
Fred Hoiberg,867207.9,0.61,2005,1995
Fred Jones,1971036.286,-1.271428571,2009,2002
Fred Roberts,385277.7778,-4.311111111,1997,1984
Fred VanVleet,928041,1.1,2018,2016
Fred Vinson,317500,-10.95,2000,1994
Furkan Aldemir,3000000,-2,2015,2014
Furkan Korkmaz,1465920,-11.6,2018,2017
Gabe Pruitt,680758.5,-2.1,2009,2007
Gal Mekel,725228,-4.4,2015,2014
Gani Lawal,473640,-8.2,2011,2010
Garret Siler,473640,-4,2011,2010
Garrett Temple,2467637.625,-1.225,2018,2010
Garth Joseph,316969,-28.7,2001,2000
Gary Forbes,986802,-2.35,2012,2010
Gary Grant,783151.4615,0.230769231,2001,1988
Gary Harris,1828153.75,-1.125,2018,2014
Gary Leonard,165000,3.15,1992,1990
Gary Neal,1544825.286,-5,2017,2010
Gary Payton,6139271.706,3.505882353,2007,1990
Gary Plummer,140000,-6.1,1993,1992
Gary Trent,1267385.889,-2.344444444,2004,1995
Gaylon Nickerson,152900,-4.1,1997,1996
Geert Hammink,250000,-0.9,1995,1994
Gene Banks,245000,0.95,1986,1984
Geno Carlisle,65779,-1,2005,2004
Geoff Huston,90000,-1.6,1986,1985
George Gervin,818500,-1.4,1986,1984
George Hill,6533140,2.15,2018,2008
George Johnson,70000,-0.5,1986,1985
George Lynch,2041250,0.058333333,2005,1993
George McCloud,1264225,-0.73,2002,1990
George Zidek,693733.3333,-8.7,1998,1995
Georgi Glouchkov,175000,-6.7,1986,1985
Georgios Papagiannis,1587718.667,44.73333333,2018,2016
Gerald Brown,287500,-9,1999,1998
Gerald Fitch,359858,-2.5,2006,2005
Gerald Glass,664500,-1.4,1996,1990
Gerald Green,1629367.333,1.791666667,2018,2005
Gerald Henderson,3125174.75,-1.683333333,2017,1985
Gerald Madkins,545000,-4.85,1995,1993
Gerald Paddio,155000,-3.6,1993,1990
Gerald Wallace,6622839.857,1,2015,2001
Gerald Wilkins,882655.5,-3.45,1999,1985
Gerard King,474750,-1.9,2001,1999
Gheorghe Muresan,1160166.667,-18.21666667,2000,1993
Giannis Antetokounmpo,6217410.2,1.84,2018,2013
Gigi Datome,1750000,0.3,2015,2014
Gilbert Arenas,10900618.09,1.654545455,2012,2001
Glen Davis,3818518.333,-3.477777778,2015,2007
Glen Rice,4042582.353,-0.476470588,2015,1989
Glenn Robinson,7292840.909,-1.018181818,2005,1994
Glenn Robinson III,981785.25,-1.3,2018,2014
God Shammgod,242250,-7.1,1998,1997
Goran Dragic,7778645,1.38,2018,2008
Gordan Giricek,3156666.667,-2.8,2008,2002
Gordon Hayward,10875974.13,-1.1,2018,2010
Gorgui Dieng,4140340.6,-1.82,2018,2013
Grant Gondrezick,125000,-2,1989,1988
Grant Hill,7198605.556,1.244444444,2013,1994
Grant Jerrett,816481,-30.5,2015,2014
Grant Long,1624048.846,-0.338461538,2002,1988
Granville Waiters,108333.3333,-6.333333333,1988,1984
Greg Anderson,571625,-2.55,1998,1987
Greg Anthony,1553840.909,1.890909091,2002,1991
Greg Ballard,435416.5,0.4,1986,1984
Greg Buckner,2046676.857,-0.578571429,2009,1999
Greg Butler,100000,-11.1,1989,1988
Greg Dreiling,328437.5,-5.525,1997,1987
Greg Foster,634925.6429,-5.928571429,2003,1990
Greg Graham,1120000,-4.28,1998,1993
Greg Grant,240000,-2.9,1995,1990
Greg Kite,539444.4444,-7.422222222,1995,1984
Greg Minor,1411000,-2.08,1999,1994
Greg Monroe,8163800.333,0.777777778,2018,2010
Greg Oden,3800114.667,-0.266666667,2014,2008
Greg Ostertag,4386490,-0.754545455,2006,1995
Greg Smith,628801.4,-3.36,2016,2011
Greg Stiemsma,1748569.75,-3.95,2015,2011
Greg Stokes,70000,-2.9,1986,1985
Greg Sutton,188166.6667,-2.8,1996,1991
Greivis Vasquez,3262687.714,-1.8,2017,2010
Guerschon Yabusele,2247480,-2.8,2018,2017
Guillermo Diaz,56065,-1.7,2008,2007
Gundars Vetra,275000,-3.1,1993,1992
Gus Williams,760000,1.3,1986,1984
Gustavo Ayon,1522500,1.766666667,2014,2011
Guy Rucker,34946,-2.6,2003,2002
Ha Seung-Jin,641748,-6.1,2006,2005
Hakeem Olajuwon,5780604.235,3.858823529,2002,1984
Hakim Warrick,2653492.75,-4.475,2013,2005
Hamady Ndiaye,372015.5,-9.3,2012,2010
Hamed Haddadi,1480000,-2.38,2013,2008
Hanno Mottola,391409.5,-6.85,2002,2000
Harold Ellis,250000,1.7,1995,1994
Harold Jamison,450937.5,-3.3,2002,1999
Harold Miner,1322500,-5.65,1996,1992
Harold Pressley,252500,0.7,1989,1987
Harrison Barnes,9645672,-1.483333333,2018,2012
Harvey Catchings,262000,-4,1985,1984
Harvey Grant,2172787.5,-1.55,1999,1988
Hasheem Thabeet,3355968,-6.7,2014,2009
Hassan Adams,354940.5,-5.45,2009,2006
Hassan Whiteside,8189352.833,-0.633333333,2018,2010
Haywoode Workman,671250,-0.2125,2000,1990
Hedo Turkoglu,6037192.733,0.513333333,2015,2000
Henry Ellenson,1742460,-6.45,2018,2016
Henry James,393350,-3.066666667,1998,1990
Henry Sims,538432.5,-7.25,2016,2014
Henry Turner,180000,-2.9,1995,1994
Herb Williams,882923.0769,-3.676923077,1999,1984
Hersey Hawkins,2350092.308,2.369230769,2001,1988
Hilton Armstrong,1898895.6,-4.78,2011,2006
Hollis Thompson,581344.5,-2.675,2017,2014
Horace Grant,4247325.813,1.26875,2004,1987
Horace Jenkins,385277,-3.2,2005,2004
Horacio Llamas Grey,272250,-10.7,1998,1997
Hot Rod Williams,3113095.909,-0.045454545,1999,1987
Howard Eisley,2851108.231,-2.084615385,2006,1994
Howard Wright,5000,3.6,1993,1992
Hubert Davis,1400041.667,-2.466666667,2004,1992
Ian Clark,1062709,-2.75,2018,2014
Ian Lockhart,130000,34.8,1991,1990
Ian Mahinmi,5709599,-0.433333333,2018,2007
Ibo Kutluay,1600000,-15,2005,2004
Igor Rakocevic,349458,-4.3,2003,2002
Ike Anigbogu,950000,-13.2,2018,2017
Ike Diogu,1666223.833,-5.316666667,2012,2005
Iman Shumpert,5228756.286,-0.042857143,2018,2011
Ime Udoka,785363.4,-0.4,2011,2006
Ira Bowman,12158,0.85,2002,1999
Ira Newble,2236486.286,-2.942857143,2008,2000
Irving Thomas,120000,-8.2,1991,1990
Isaac Austin,2514074,-4.577777778,2002,1991
Isaiah Canaan,671744.3333,-5,2018,2014
Isaiah Morris,140000,-6.7,1993,1992
Isaiah Rider,2933199.667,-1.644444444,2002,1993
Isaiah Taylor,808805.5,-3.7,2018,2016
Isaiah Thomas,4160013.429,1.742857143,2018,2011
Isaiah Whitehead,1193378,-1.8,2018,2016
Ish Smith,1798148,-2.15,2018,2010
Isiah Thomas,1668100,2.64,1994,1984
Ivan Johnson,717899.5,-1.6,2013,2011
Ivan McFarlin,412718,-2,2007,2006
Ivan Rabb,950000,-3,2018,2017
Ivano Newbill,223250,-4.766666667,1998,1994
Ivica Zubac,1173783.5,-3.3,2018,2016
J.J. Barea,2738692.5,-1.066666667,2018,2006
J.R. Bremer,456568.5,-2.9,2004,2002
J.R. Giddens,993000,-0.15,2010,2008
J.R. Henderson,287500,-5.8,1999,1998
J.R. Reid,1570090.909,-2.272727273,2001,1989
Jabari Brown,44765,-7.6,2015,2014
Jabari Parker,5559928,-3.2,2018,2014
Jabari Smith,535386,-3.45,2005,2000
Jack Haley,263892.8571,-9.028571429,1998,1988
Jack Sikma,1458166.667,1.283333333,1991,1984
Jackie Butler,1299381,-3.4,2007,2005
Jackson Vroman,533664,-4.6,2006,2004
Jacque Vaughn,938307.5,-3.733333333,2009,1997
Jae Crowder,3564521.833,0.866666667,2018,2012
Jahidi White,4244447,-3.533333333,2005,1999
Jahlil Okafor,4788880,-4.466666667,2018,2015
JaJuan Johnson,1042320,-4.2,2012,2011
Jake Layman,956305.5,-7.85,2018,2016
Jake Tsakalidis,1820283.143,-2.085714286,2007,2000
Jake Voskuhl,1369045.222,-4.033333333,2009,2000
Jakob Poeltl,2764800,0,2018,2016
Jalen Rose,7317017.857,-0.685714286,2007,1994
Jamaal Franklin,91605,-20,2015,2014
Jamaal Magloire,3276969.167,-4.208333333,2012,2000
Jamaal Tinsley,3078967.333,0.433333333,2010,2001
Jamaal Wilkes,467500,-4.1,1986,1984
Jamal Crawford,6278698.474,-1.010526316,2018,2000
Jamal Mashburn,5113512.182,-0.790909091,2004,1993
Jamal Murray,3283080,0.05,2018,2016
Jamal Robinson,40000,-6.4,2001,2000
Jamal Sampson,619777.4,-1.16,2007,2002
Jamario Moon,1722170,0.525,2011,2007
Jameel Warney,46080,-5.6,2018,2017
Jameer Nelson,4673758,-2.146666667,2018,2004
Jamel Thomas,29299.5,-4.3,2000,1999
James Anderson,895769.3333,-1.666666667,2016,2010
James Augustine,550087,-0.85,2008,2006
James Bailey,450000,-3.8,1988,1985
James Collins,242000,-1.9,1998,1997
James Cotton,242000,-9.9,1998,1997
James Donaldson,640833.3333,-2.383333333,1992,1984
James Edwards,661272.7273,-5.354545455,1996,1984
James Ennis III,1470673.8,-1.86,2018,2014
James Harden,13089987.56,5.644444444,2018,2009
James Johnson,3863350.75,-1.2875,2018,2009
James Jones,1987356.538,-1.469230769,2017,2003
James Lang,771331,-5.1,2007,2006
James Posey,4121350.5,0.441666667,2011,1999
James Robinson,1184687.5,-2.7125,2001,1993
James Scott,220000,-7.3,1997,1996
James Singleton,789114.5,-0.85,2010,2005
James Thomas,148698,1,2006,2005
James White,557514,-2.6,2013,2006
James Worthy,1316666.667,1.366666667,1994,1984
JamesOn Curry,26917,-10.8,2010,2009
Jamie Feick,1224312.5,-5.275,2001,1997
Jamie Watson,716666.6667,-2.966666667,1997,1994
Jamison Brewer,550994.25,-2.725,2005,2001
JaMychal Green,2604627.25,-1.05,2018,2014
Jan Vesely,3233640,-0.466666667,2014,2011
Jannero Pargo,973766.9167,-2.266666667,2015,2002
Jared Cunningham,850948.5,-3.35,2016,2012
Jared Dudley,4321638.909,0.981818182,2018,2007
Jared Jeffries,3684420.455,-1.481818182,2013,2002
Jared Reiner,391091,-7,2007,2004
Jared Sullinger,2398884,-0.56,2017,2012
Jarell Eddie,204619.2,-4.42,2018,2015
Jarell Martin,1329460.667,-3.6,2018,2015
Jaren Jackson,1150609.571,-1.685714286,2002,1992
Jarnell Stokes,573353,10.63333333,2017,2014
Jarrett Allen,1713720,-4.1,2018,2017
Jarrett Jack,3162062.533,-2.166666667,2018,2005
Jarrod Uthoff,56969,-8.5,2017,2016
Jarron Collins,1500817.1,-3.6,2011,2001
Jarvis Hayes,1910955.286,-2.3,2010,2003
Jarvis Varnado,366036,-16.63333333,2014,2012
Jason Caffey,3029115,-4.1625,2003,1995
Jason Collier,1335060,-6.125,2005,2000
Jason Collins,2847377.5,-2.891666667,2013,2001
Jason Hart,1053592.909,-0.709090909,2010,2000
Jason Kapono,3165891.444,-3,2012,2003
Jason Kidd,9877656.211,4.763157895,2013,1994
Jason Lawson,242250,6.6,1998,1997
Jason Maxiell,2861482.1,-3.23,2015,2005
Jason Miskiri,15982,-4.9,2000,1999
Jason Richardson,7627064.846,0.969230769,2015,2001
Jason Smith,3014363.3,-3.72,2018,2007
Jason Terry,5697560.421,1.415789474,2018,1999
Jason Thompson,3644499.889,-2.355555556,2016,2008
Jason Williams,4184705.538,-0.015384615,2011,1998
JaVale McGee,5008934.273,-3.209090909,2018,2008
Javaris Crittenton,1333380,-4.1,2009,2007
Jawad Williams,434178.3333,-3.133333333,2011,2008
Jawann Oldham,227500,-2.65,1988,1985
Jawun Evans,815615,-1.6,2018,2017
Jay Guidinger,195000,-4.4,1994,1992
Jay Humphries,979062.5,-0.075,1995,1985
Jay Murphy,140000,-8.55,1988,1985
Jay Vincent,339056.25,-3.25,1989,1984
Jay Williams,3451920,-2.4,2003,2002
Jaylen Brown,4849740,-1.15,2018,2016
Jaylen Morris,193536,-9.3,2018,2017
Jayson Tatum,5645400,1.2,2018,2017
Jayson Williams,2416666.667,-2.211111111,1999,1990
Jeff Adrien,662881.4,-2.5,2015,2010
Jeff Ayres,1225595,-5.05,2016,2009
Jeff Cook,155855.3333,-3.7,1988,1984
Jeff Foote,225341,-8.3,2012,2011
Jeff Foster,3851544.231,1.215384615,2012,1999
Jeff Grayer,644000,-2.36,1994,1988
Jeff Green,6743074.3,-2.29,2018,2007
Jeff Hornacek,2163533.333,3.691666667,2000,1987
Jeff Lamp,83333.33333,-3.633333333,1989,1985
Jeff Malone,1274878.727,-1.709090909,1996,1984
Jeff Martin,210000,-3.5,1991,1990
Jeff McInnis,2004394,-2.99,2008,1998
Jeff Nordgaard,242000,-4.5,1998,1997
Jeff Ruland,554500,1.1,1986,1984
Jeff Sanders,317500,-3.1,1993,1991
Jeff Taylor,759705,-4.666666667,2015,2012
Jeff Teague,6518190.778,0.344444444,2018,2009
Jeff Trepagnier,485748,-5.55,2004,2001
Jeff Turner,630000,-4.485714286,1996,1985
Jeff Wilkins,214500,-6.2,1986,1985
Jeff Withey,1089193.5,1.425,2018,2014
Jeffrey Sheppard,287500,-2.7,1999,1998
Jelani McCoy,494491.875,-5.1,2008,1998
Jerald Honeycutt,300000,-2.4,1999,1997
Jerami Grant,1058668.5,-1.45,2018,2014
Jerel McNeal,29843,-11.1,2015,2014
Jeremy Evans,1102790,-2.8,2018,2010
Jeremy Lamb,3813224,0.383333333,2018,2012
Jeremy Lin,6492873.875,0.375,2018,2010
Jeremy Pargo,735354,-5.333333333,2013,2011
Jeremy Richardson,299386.3333,-4.533333333,2009,2006
Jeremy Tyler,599122,-4.45,2014,2011
Jerian Grant,1643080,-0.5,2018,2015
Jermaine Jackson,457468.5,-5.825,2006,1999
Jermaine O'Neal,9377445.611,-1.266666667,2014,1996
Jermaine Taylor,752935.5,-5.15,2011,2009
Jermareo Davidson,424944,-4.25,2009,2007
Jerome Allen,223750,-4.3,1997,1995
Jerome Beasley,366931,-8.7,2004,2003
Jerome James,4239461.111,-4.344444444,2009,1998
Jerome Jordan,694423.5,-1.45,2015,2011
Jerome Kersey,1075535.714,1.107142857,2001,1985
Jerome Lane,391250,-2.625,1993,1988
Jerome Moiso,1614960,-4.06,2005,2000
Jerome Whitehead,363750,-5.725,1989,1984
Jerome Williams,3311520,1.288888889,2005,1996
Jerrelle Benimon,32421.5,-4.8,2015,2014
Jerrod Mustaf,819250,-4.95,1994,1990
Jerry Reynolds,481333.2,0.24,1992,1985
Jerry Sichting,192000,-2,1989,1984
Jerry Stackhouse,4442465.421,-1.536842105,2013,1995
Jerryd Bayless,4003060.4,-3.2,2018,2008
Jeryl Sasser,935640,-4,2003,2001
Jim Farmer,175000,-11.3,1988,1987
Jim Grandholm,115000,-0.7,1991,1990
Jim Jackson,2403500.846,-1.761538462,2006,1993
Jim Les,246500,-0.616666667,1995,1988
Jim McIlvaine,3103571.429,-2.785714286,2001,1994
Jim Paxson,591666.6667,-0.966666667,1989,1985
Jim Petersen,725833.3333,-3.833333333,1992,1985
Jim Thomas,75000,-2.65,1986,1984
Jimmer Fredette,1236408.143,-13.37142857,2016,2011
Jimmy Butler,8193341,3.985714286,2018,2011
Jimmy King,315000,-1.15,1997,1995
Jimmy Oliver,236125,-0.6,1998,1991
Jiri Welsch,1539258.5,-3.35,2006,2002
JJ Hickson,3017080.444,-3.066666667,2016,2008
JJ O'Brien,105888,-14.5,2016,2015
JJ Redick,6596500.667,0.716666667,2018,2006
Jo Jo English,50000,-2,1995,1994
Joakim Noah,9525463.273,2.736363636,2018,2007
Jodie Meeks,3046287.111,0.711111111,2018,2009
Joe Alexander,2493240,-3.65,2010,2008
Joe Barry Carroll,1015000,-5.46,1991,1985
Joe Courtney,187500,-7.35,1996,1993
Joe Crispin,48705,-7.2,2002,2001
Joe Dumars,1601550,0.992857143,1999,1985
Joe Harris,1058668.5,-9.775,2018,2014
Joe Ingles,4785925,0.475,2018,2014
Joe Johnson,11581095.05,0.157894737,2018,2001
Joe Kleine,788634.6154,-5.153846154,2000,1985
Joe Kopicki,80000,-1.5,1985,1984
Joe Meriweather,225000,-3.9,1985,1984
Joe Smith,3826299.75,-1.625,2011,1995
Joe Stephens,180345.5,-1.4,2000,1997
Joe Wolf,469404.1,-8.07,1999,1987
Joe Young,1174574.667,-5.733333333,2018,2015
Joel Anthony,2337798.7,-3.18,2017,2007
Joel Embiid,5463213,4.05,2018,2016
Joel Freeland,2975000,-2.1,2015,2012
Joel Przybilla,3438882.077,-3.676923077,2013,2000
Joey Dorsey,875013,-1.35,2015,2008
Joey Graham,1467364.167,-3.616666667,2011,2005
Joffrey Lauvergne,1683506.25,-6.725,2018,2014
Johan Petro,1980661.75,-5.5875,2013,2005
John Amaechi,1150500,-8.54,2003,1995
John Bagley,435500,-2.275,1994,1984
John Battle,646250,-2.725,1995,1985
John Celestand,301875,-7,2000,1999
John Coker,275000,2.55,1999,1995
John Collins,1936920,-0.5,2018,2017
John Crotty,469930.9167,0.775,2003,1992
John Drew,250000,-0.6,1985,1984
John Edwards,692638.5,-6.85,2006,2004
John Henson,5433220.5,-2.05,2018,2012
John Jenkins,1045424.2,-3.68,2017,2012
John Long,297533.3333,-2.6,1997,1984
John Lucas,627157.9091,-0.827272727,2017,1985
John Morton,400000,-3.9,1992,1990
John Paxson,609000,-1.1,1994,1984
John Salley,1478666.667,-0.977777778,2000,1987
John Salmons,4214914.357,-2.021428571,2015,2002
John Shasky,137500,-3.35,1991,1988
